Result,B365H,B365D,B365A
H,2.29,3.2,3.6
H,2.29,3.5,3.25
A,9.0,4.5,1.44
D,1.22,7.0,15.0
H,1.28,6.0,12.0
A,2.39,3.29,3.25
A,2.1,3.39,3.89
A,15.0,6.5,1.25
H,1.25,6.5,15.0
D,5.25,4.2,1.66
H,1.25,6.5,14.0
D,2.62,3.0,3.2
H,1.39,5.0,9.0
A,1.89,3.6,4.5
H,1.55,4.59,6.0
A,2.29,3.29,3.5
A,1.8,3.75,5.0
A,6.5,4.5,1.53
A,6.5,4.0,1.6
H,1.72,3.75,5.5
D,2.54,3.6,2.79
H,2.62,3.2,3.0
A,7.0,4.2,1.55
D,6.0,3.89,1.66
D,4.5,3.6,1.9
H,1.12,11.0,23.0
D,1.61,3.89,6.5
H,2.29,3.25,3.5
D,3.29,3.2,2.45
A,2.1,3.39,3.89
D,2.79,3.29,2.75
H,1.19,7.5,17.0
D,2.5,3.2,3.2
H,1.16,9.0,19.0
D,1.25,6.5,15.0
H,1.36,5.25,10.0
H,2.54,3.5,2.87
D,2.54,3.2,3.1
A,13.0,6.75,1.25
A,4.5,4.0,1.8
H,2.37,3.29,3.29
H,1.16,8.5,19.0
D,2.37,3.1,3.5
H,1.3,6.0,11.0
D,1.36,5.5,9.0
D,2.14,3.2,4.0
A,1.66,3.79,6.0
D,11.0,6.5,1.28
D,5.0,4.0,1.72
D,2.37,3.2,3.39
A,7.5,4.5,1.5
A,5.5,3.5,1.8
H,1.66,3.79,6.0
A,2.29,3.29,3.5
H,1.12,8.5,19.0
A,1.9,3.39,4.0
A,12.0,4.75,1.3
H,1.9,3.39,4.09
D,2.6,3.39,2.6
D,1.25,6.0,10.0
D,1.3,5.75,12.0
H,2.0,3.29,4.5
A,2.62,3.1,3.1
D,1.95,3.39,4.5
H,1.28,6.0,13.0
D,2.5,3.39,3.0
H,2.14,3.0,4.33
H,4.75,4.2,1.75
H,3.1,3.75,2.29
H,1.22,7.0,15.0
H,1.5,4.75,7.0
A,6.5,3.89,1.61
A,7.5,3.89,1.57
D,2.14,3.2,4.0
H,1.85,3.89,4.33
H,1.12,10.0,26.0
H,2.04,3.39,4.09
D,2.0,3.6,4.0
D,5.75,4.09,1.64
H,12.0,5.75,1.3
A,12.0,5.75,1.3
H,7.0,4.59,1.5
D,3.1,3.25,2.54
A,1.28,6.5,11.0
H,3.0,3.2,2.62
H,1.14,10.0,21.0
D,2.2,3.2,3.89
D,1.75,3.5,6.0
D,2.25,3.5,3.39
H,2.35,3.29,3.39
H,1.3,5.75,12.0
H,1.9,3.7,4.33
H,2.35,3.0,3.7
D,13.0,6.0,1.28
D,1.8,3.6,5.25
H,1.16,8.5,19.0
A,2.54,3.2,3.1
D,2.04,3.39,4.2
D,2.1,3.75,3.6
H,6.25,4.0,1.61
H,2.25,3.25,3.2
H,1.19,6.5,13.0
D,2.2,3.2,3.39
H,2.37,3.0,3.25
H,2.0,3.6,3.5
H,2.5,3.29,2.79
H,3.25,3.2,2.25
H,5.5,3.75,1.61
A,4.2,3.79,1.8
H,1.36,4.75,8.0
D,2.1,3.5,3.79
H,2.14,3.25,4.0
D,2.89,3.1,2.79
D,1.72,3.89,5.25
H,1.22,7.5,13.0
H,2.25,3.39,3.5
A,1.95,3.29,4.75
A,7.5,4.5,1.5
H,2.29,3.25,3.5
A,4.5,4.0,1.72
H,2.5,3.1,3.29
D,1.85,3.75,4.5
H,1.22,7.0,15.0
D,1.75,3.75,5.25
H,2.6,3.25,3.0
H,1.19,7.5,17.0
H,2.14,3.29,3.89
H,4.2,3.79,1.9
H,1.61,4.2,6.0
A,7.0,4.0,1.57
H,1.3,5.75,12.0
H,2.2,3.2,3.89
D,2.54,3.1,3.2
H,2.75,3.39,2.75
H,2.79,3.2,2.79
A,3.0,3.25,2.6
A,2.29,3.2,3.6
H,1.44,5.0,7.5
A,6.5,4.5,1.55
A,15.0,6.5,1.25
H,1.83,3.6,5.0
A,3.0,3.1,2.7
H,1.19,8.0,15.0
A,2.5,3.29,3.1
A,2.7,3.2,2.62
A,7.0,4.33,1.44
A,9.0,5.0,1.33
H,1.25,6.0,10.0
H,1.75,3.39,5.0
D,2.29,3.29,3.1
A,2.5,3.0,3.1
H,2.7,3.25,2.6
H,1.28,5.5,10.0
A,2.29,3.29,3.1
D,2.5,3.39,3.0
D,1.85,3.5,5.0
D,4.2,3.75,1.9
A,1.95,3.6,4.2
A,1.89,3.79,4.2
A,11.0,5.5,1.33
A,2.39,3.2,3.39
D,2.37,3.2,3.39
H,1.57,4.5,6.0
D,1.28,6.0,12.0
H,2.62,3.2,3.0
H,1.9,3.5,4.75
H,2.62,3.25,3.0
H,1.25,7.0,12.0
A,4.5,3.75,1.85
D,2.54,3.25,3.1
A,2.62,3.6,2.7
A,1.18,8.0,19.0
H,3.29,3.6,2.25
D,2.0,3.6,4.0
D,6.5,4.33,1.55
A,5.0,3.89,1.75
A,4.0,3.39,1.9
D,2.25,3.29,3.2
D,2.89,3.39,2.54
D,7.5,4.5,1.5
H,1.55,4.59,6.0
H,1.14,9.0,23.0
D,2.29,3.29,3.5
H,2.29,3.39,3.39
D,2.25,3.2,3.7
H,2.04,3.6,3.79
A,2.62,3.1,3.1
D,1.33,5.75,10.0
A,1.85,3.6,4.75
H,1.72,4.0,5.0
A,7.0,4.33,1.53
H,1.44,4.75,8.0
A,10.0,5.75,1.33
H,1.16,8.5,21.0
H,4.75,3.6,1.85
H,2.1,3.6,3.7
D,2.89,3.29,2.62
A,2.25,3.5,3.39
A,2.7,3.39,2.79
H,2.37,3.39,3.2
H,8.0,4.75,1.44
H,1.57,4.2,6.5
H,2.25,3.6,3.29
D,1.08,13.0,34.0
A,3.1,3.25,2.54
D,1.16,8.5,19.0
H,3.75,3.79,2.0
H,1.12,10.0,27.0
H,1.18,8.5,17.0
D,4.75,3.79,1.8
A,2.14,3.5,3.6
H,1.8,3.79,4.75
A,6.0,4.33,1.6
H,1.19,8.0,15.0
H,1.39,5.25,8.5
H,6.5,4.2,1.6
A,9.0,5.0,1.39
A,1.9,3.79,4.2
H,1.33,6.0,9.0
H,2.45,3.5,3.0
D,1.28,4.5,13.0
H,2.62,3.2,2.6
H,1.66,3.4,5.5
H,1.72,3.5,4.75
H,2.3,3.1,3.1
H,2.5,3.1,2.8
D,6.0,3.8,1.53
H,2.0,3.2,3.75
H,1.22,5.5,13.0
H,1.22,5.5,13.0
H,1.5,3.75,7.0
D,2.87,3.2,2.4
H,1.9,3.25,4.0
D,2.3,3.1,3.1
A,7.5,3.6,1.5
D,2.4,3.2,2.87
D,2.2,3.1,3.1
H,8.5,3.75,1.44
H,2.5,3.1,2.8
H,1.9,3.25,4.0
H,1.44,4.0,7.5
H,5.5,3.6,1.61
A,1.72,3.4,5.0
A,7.5,4.33,1.4
H,1.9,3.25,4.0
H,2.37,3.1,3.0
A,6.5,3.6,1.53
A,2.0,3.2,3.75
D,1.33,4.33,10.0
H,1.66,3.4,5.5
H,1.2,5.5,17.0
H,3.75,3.2,2.0
H,1.5,3.75,7.0
A,1.72,3.4,5.0
H,1.83,3.25,4.5
D,2.62,3.2,2.62
D,2.1,3.2,3.5
H,2.3,3.1,3.1
D,2.0,3.2,3.75
A,2.3,3.25,3.0
D,1.72,3.4,5.0
A,2.5,3.1,2.8
D,2.75,3.2,2.5
H,2.0,3.2,3.75
H,1.83,3.25,4.5
A,1.9,3.25,4.0
D,1.61,3.4,6.0
A,2.1,3.2,3.5
H,1.53,3.6,6.5
H,1.2,5.5,17.0
H,1.8,3.4,4.33
A,7.5,4.33,1.4
H,1.61,3.75,5.25
H,2.25,3.2,3.1
A,2.1,3.1,3.5
D,7.0,3.75,1.5
D,1.83,3.3,4.33
D,2.2,3.2,3.25
A,1.9,3.25,4.0
H,3.75,3.2,2.0
A,6.5,3.6,1.53
D,1.3,5.0,8.5
D,1.83,3.3,4.33
H,2.6,3.25,2.6
H,1.9,3.25,4.0
H,1.3,4.33,13.0
H,1.8,3.25,4.5
A,1.9,3.25,4.0
D,2.4,3.2,2.87
H,1.16,6.5,15.0
D,2.25,3.1,3.2
D,1.44,4.0,7.5
D,1.66,3.6,5.0
H,2.6,3.1,2.7
H,2.0,3.2,3.75
A,7.5,4.33,1.4
A,6.0,3.8,1.53
A,2.25,3.2,3.1
H,2.1,3.1,3.6
D,1.72,3.4,5.0
D,1.9,3.25,4.0
H,1.28,5.0,10.0
H,1.57,3.5,6.5
H,2.3,3.1,3.1
A,2.37,3.1,2.75
H,1.9,3.25,4.0
H,2.4,3.1,2.87
A,5.5,3.6,1.61
H,1.8,3.3,4.5
D,1.4,4.0,9.0
A,4.33,3.3,1.83
A,2.1,3.25,3.4
H,1.53,3.6,6.5
D,1.8,3.3,4.5
H,1.8,3.3,4.5
A,12.0,4.5,1.3
D,3.6,3.3,2.0
H,2.5,3.2,2.75
H,2.37,3.1,3.0
A,1.9,3.25,4.0
H,2.3,3.1,3.1
H,2.8,3.1,2.5
H,1.33,4.5,9.5
H,1.3,5.0,9.0
A,1.72,3.4,5.0
H,2.6,3.0,2.8
H,2.0,3.2,3.75
H,5.0,3.4,1.72
H,5.5,3.6,1.61
A,5.5,3.6,1.61
H,1.12,7.0,23.0
A,2.0,3.2,3.75
D,2.1,3.2,3.5
H,2.2,3.2,3.25
D,1.83,3.3,4.33
D,2.9,3.2,2.37
H,1.9,3.25,4.0
H,2.0,3.2,3.75
H,3.1,3.2,2.25
D,1.25,5.0,13.0
H,1.18,5.75,17.0
H,2.4,3.2,2.87
H,2.1,3.2,3.5
D,3.75,3.2,2.0
H,1.61,3.6,5.5
H,1.9,3.25,4.0
A,9.0,4.33,1.36
D,2.4,3.2,2.87
D,2.37,3.2,2.9
D,1.8,3.3,4.5
H,3.6,3.3,2.0
D,2.7,3.25,2.5
A,2.2,3.1,3.3
H,1.44,3.75,8.5
H,1.8,3.3,4.5
D,2.5,3.1,2.8
H,2.3,3.1,3.1
H,1.8,3.3,4.5
A,2.2,3.1,3.3
A,1.83,3.3,4.33
A,5.0,3.6,1.66
H,6.0,3.6,1.57
D,1.44,4.0,7.5
H,1.33,4.5,9.5
H,1.66,3.5,5.0
H,1.9,3.25,4.0
A,6.0,3.6,1.57
D,2.2,3.2,3.25
H,2.4,3.2,2.87
H,2.2,3.1,3.3
A,3.75,3.2,2.0
H,1.9,3.25,4.0
D,1.57,3.6,6.0
H,2.5,3.1,2.8
H,1.72,3.4,5.0
H,1.9,3.25,4.0
A,2.0,3.3,3.6
A,2.15,3.25,3.4
H,1.75,3.3,5.0
H,1.33,4.5,9.5
H,1.36,4.33,9.0
D,2.05,3.2,3.6
H,2.2,3.2,3.25
H,1.53,4.0,6.0
D,2.6,3.2,2.62
D,1.72,3.4,5.0
D,2.62,3.2,2.6
H,1.2,6.0,13.0
A,4.75,3.5,1.72
D,1.4,4.33,7.5
A,2.4,3.2,2.87
A,6.0,3.8,1.53
H,1.72,3.4,5.0
A,2.1,3.25,3.4
A,1.8,3.4,4.33
A,5.5,3.8,1.57
A,2.5,3.2,2.75
H,6.5,4.0,1.44
H,2.25,3.2,3.1
H,1.33,4.5,9.5
A,5.5,3.6,1.61
D,2.37,3.25,2.87
H,1.2,6.0,13.0
A,2.4,3.25,2.87
H,1.72,3.4,5.0
H,2.5,3.2,2.75
H,1.66,3.6,5.0
A,2.3,3.25,3.0
A,7.5,4.33,1.4
H,4.2,3.4,1.83
H,1.9,3.3,4.0
D,1.18,6.0,15.0
D,1.83,3.25,4.5
H,1.18,6.0,15.0
A,2.3,3.25,3.0
H,1.8,3.2,4.75
A,8.0,4.2,1.4
A,2.25,3.2,3.1
D,2.5,3.25,2.7
H,2.0,3.2,3.75
H,2.0,3.2,3.75
H,2.6,3.2,2.62
D,1.14,6.5,21.0
H,2.1,3.25,3.4
H,1.2,6.0,13.0
H,6.0,4.0,1.5
A,2.6,3.2,2.62
A,2.1,3.2,3.5
D,1.66,3.4,5.5
H,1.61,3.4,6.0
H,2.37,3.2,2.9
H,1.8,3.4,4.5
D,6.5,3.75,1.53
D,2.4,3.2,2.87
H,2.1,3.2,3.5
A,2.37,3.2,2.9
H,1.22,5.5,13.0
D,6.5,3.75,1.53
A,4.2,3.4,1.83
D,1.8,3.25,4.75
A,2.5,3.2,2.75
H,1.2,6.0,13.0
H,1.25,5.5,11.0
D,2.6,3.2,2.62
A,6.5,3.75,1.53
D,2.1,3.3,3.4
D,2.0,3.2,3.75
A,1.8,3.4,4.5
H,1.57,3.6,6.0
D,2.87,3.2,2.4
H,2.87,3.0,2.5
A,2.25,3.2,3.1
H,2.5,3.2,2.75
D,1.8,3.4,4.33
